0 -91481348 -48421318 -46642385 465105879 148190398 446114 152493 214587 -823810 -133511 0 0 0 -781723 -125293
2 -85811767 -42789127 -42999588 465649467 147838767 402986 121361 190548 -748866 -102948 0 0 0 -725324 -100904
5 -82789956 -38110634 -40731211 477983811 150892216 342329 71361 149674 -674860 -65239 0 0 0 -651775 -63912
9 -89492711 -38940540 -44147852 519773414 162720905 277454 8401 104632 -586035 -7771 0 0 0 -562488 -7489
10 -92392016 x -45747398 533793602 0 260690 0 92635 -560392 0 0 0 0 -537586 0
15 -108922348 x -54947509 616254396 0 163444 0 23046 -384008 0 0 0 0 -371323 0
17 -114728930 x x 651530764 x 117062 0 0 -285217 0 0 0 0 -277511 0
20 -121123724 x x 703909397 x 40752 0 0 -103910 0 0 0 0 -101933 0
21 -122732655 x x 721402324 x 13605 0 0 -34189 0 0 0 0 -33598 0
