0 335269877 301987 -907016
1 345687403 299501 -866512
2 356075983 266067 -826228
3 365956601 220143 -787707
4 375398439 191960 -751130
5 384472268 165595 -715687
7 402195081 117378 -645237
10 303262170 53623 -537586
15 343462190 -34072 -371323
20 461661947 -22406 -101933
