-5 3687.22 847.162 3333.79 3112.94
-4.5 2688.46 1266.83 2587.58 3221.2
-4 1653.18 1675.42 2115.3 3204.5
-3.5 1024.18 1873.63 1950.39 3060.56
-3 885.919 1855.29 1871.17 2856.96
-2.5 922.003 1746.39 1794.13 2616.36
-2 987.104 1606.39 1697.72 2340.26
-1.5 1043.28 1447.75 1569.02 2025.52
-1 1069.38 1273.71 1392.83 1668.01
-0.5 1031.54 1088.97 1148.36 1263.39
0 911.969 892.275 806.836 807.467
0.5 687.206 680.306 328.865 296.528
1 317.828 451.318 -339.043 -272.304
1.5 -262.889 205.519 -1267.34 -900.852
2 -1146.26 -59.1235 -2544.97 -1590.54
2.5 -2468.45 -345.862 -4276 -2344.01
3 -4425.25 -659.486 -6570.05 -3170.03
3.5 -7273.48 -1013.58 -9520.37 -4090.89
4 -11324.9 -1444.36 -13149.9 -5160.36
4.5 -16845.3 -2051.78 -17333.6 -6481.19
5 -23845 -3096.64 -21709.6 -8230.12
